@RELATION "multilabel_instances_train: -C -3"
@ATTRIBUTE swords  NUMERIC
@ATTRIBUTE sf         NUMERIC
@ATTRIBUTE sdf      NUMERIC
@ATTRIBUTE scand      NUMERIC
@ATTRIBUTE mpos      NUMERIC
@ATTRIBUTE msent     NUMERIC
@ATTRIBUTE dwords     NUMERIC
@ATTRIBUTE dents    NUMERIC
@ATTRIBUTE Aclass        {0,1}
@ATTRIBUTE Bclass        {0,1}
@ATTRIBUTE Tclass        {0,1}

@DATA
3.0,2.0,3.0,1.0,0.12,286.0,552.0,18.0,1,1,1
3.0,2.0,3.0,1.0,0.0,283.0,552.0,18.0,1,1,1
2.0,7.0,1.0,1.0,0.02,283.0,552.0,18.0,1,1,1
2.0,7.0,1.0,1.0,0.89,303.0,552.0,18.0,1,1,1
2.0,7.0,1.0,1.0,0.66,179.0,552.0,18.0,1,1,1
2.0,7.0,1.0,1.0,0.61,152.0,552.0,18.0,1,1,0
2.0,7.0,1.0,1.0,0.6,73.0,552.0,18.0,1,1,1
2.0,7.0,1.0,1.0,0.49,210.0,552.0,18.0,1,1,1
2.0,7.0,1.0,1.0,0.4,136.0,552.0,18.0,1,1,1
2.0,1.0,1.0,1.0,0.04,283.0,552.0,18.0,1,1,1
3.0,1.0,3.0,1.0,0.0,260.0,188.0,2.0,1,1,1
2.0,6.0,0.0,2.0,0.06,260.0,188.0,2.0,1,1,1
2.0,6.0,0.0,2.0,0.41,138.0,188.0,2.0,1,1,0
2.0,6.0,0.0,2.0,0.31,158.0,188.0,2.0,1,1,0
2.0,6.0,0.0,2.0,0.16,260.0,188.0,2.0,1,1,1
2.0,6.0,0.0,2.0,0.82,472.0,188.0,2.0,1,1,0
2.0,6.0,0.0,2.0,0.79,472.0,188.0,2.0,1,1,1
2.0,1.0,0.0,1.0,0.14,73.0,85.0,0.0,1,1,1
3.0,1.0,3.0,1.0,0.0,292.0,369.0,11.0,1,1,1
1.0,1.0,0.0,0.0,0.96,284.0,369.0,11.0,1,1,1
3.0,1.0,0.0,0.0,0.81,218.0,369.0,11.0,1,1,1
2.0,1.0,0.0,1.0,0.09,132.0,65.0,3.0,1,1,1
2.0,1.0,1.0,1.0,0.76,117.0,65.0,3.0,1,1,1
4.0,1.0,0.0,1.0,0.32,105.0,65.0,3.0,1,1,1
2.0,1.0,2.0,1.0,0.02,99.0,150.0,3.0,1,1,1
4.0,1.0,0.0,2.0,0.78,101.0,150.0,3.0,1,0,0
3.0,1.0,0.0,1.0,0.05,72.0,150.0,3.0,1,1,1
3.0,1.0,2.0,2.0,0.05,138.0,659.0,9.0,1,0,1
2.0,7.0,5.0,212.0,0.13,146.0,659.0,9.0,1,0,0
2.0,7.0,5.0,212.0,0.94,159.0,659.0,9.0,1,0,1
2.0,7.0,5.0,212.0,0.67,203.0,659.0,9.0,1,0,1
2.0,7.0,5.0,212.0,0.55,90.0,659.0,9.0,1,0,0
2.0,7.0,5.0,212.0,0.5,151.0,659.0,9.0,1,0,0
2.0,7.0,5.0,212.0,0.42,94.0,659.0,9.0,1,0,0
2.0,1.0,1.0,0.0,0.21,170.0,659.0,9.0,1,1,0
3.0,2.0,2.0,2.0,0.05,126.0,224.0,8.0,1,0,1
3.0,2.0,2.0,2.0,0.77,70.0,224.0,8.0,1,0,1
3.0,1.0,1.0,2.0,0.59,99.0,224.0,8.0,1,1,1
3.0,1.0,0.0,5.0,0.24,373.0,224.0,8.0,1,1,1
3.0,2.0,2.0,1.0,0.41,295.0,224.0,8.0,1,1,1
3.0,2.0,2.0,1.0,0.87,185.0,224.0,8.0,1,1,1
3.0,1.0,0.0,1.0,0.38,295.0,224.0,8.0,1,1,0
3.0,1.0,1.0,3.0,0.23,354.0,497.0,10.0,1,1,1
2.0,2.0,2.0,1.0,0.01,49.0,497.0,10.0,1,1,0
1.0,4.0,0.0,7.0,0.1,40.0,497.0,10.0,1,1,1
1.0,4.0,0.0,7.0,0.99,45.0,497.0,10.0,1,1,1
1.0,4.0,0.0,7.0,0.64,56.0,497.0,10.0,1,1,1
3.0,1.0,1.0,1.0,0.18,354.0,497.0,10.0,1,1,1
2.0,1.0,2.0,1.0,0.02,159.0,497.0,10.0,1,1,1
2.0,1.0,2.0,1.0,0.95,38.0,64.0,4.0,1,1,0
2.0,1.0,0.0,1.0,0.8,59.0,64.0,4.0,1,1,1
2.0,1.0,2.0,1.0,0.9,38.0,64.0,4.0,1,1,1
2.0,2.0,0.0,2.0,0.06,72.0,171.0,5.0,1,1,1
2.0,2.0,0.0,2.0,0.38,157.0,171.0,5.0,1,1,1
3.0,1.0,1.0,1.0,0.36,63.0,805.0,16.0,1,1,1
4.0,1.0,0.0,0.0,0.05,33.0,805.0,16.0,1,0,0
3.0,1.0,1.0,1.0,0.34,127.0,805.0,16.0,1,1,0
3.0,1.0,1.0,1.0,0.35,127.0,805.0,16.0,1,1,1
3.0,1.0,1.0,2.0,0.55,53.0,805.0,16.0,1,0,1
2.0,1.0,1.0,2.0,0.11,90.0,805.0,16.0,1,0,1
1.0,1.0,0.0,1.0,0.36,190.0,805.0,16.0,1,1,0
4.0,1.0,0.0,0.0,0.06,33.0,823.0,7.0,1,0,0
3.0,3.0,2.0,1.0,0.12,306.0,823.0,7.0,1,1,1
3.0,3.0,2.0,1.0,0.86,199.0,823.0,7.0,1,1,1
3.0,3.0,2.0,1.0,0.55,186.0,823.0,7.0,1,1,1
2.0,1.0,0.0,2.0,0.48,86.0,823.0,7.0,1,1,1
4.0,1.0,0.0,0.0,0.0,33.0,642.0,8.0,1,0,0
5.0,1.0,0.0,1.0,0.24,130.0,642.0,8.0,1,1,1
3.0,1.0,1.0,1.0,0.01,29.0,642.0,8.0,1,1,0
4.0,1.0,0.0,0.0,0.02,33.0,709.0,16.0,1,0,0
2.0,1.0,0.0,1.0,0.01,21.0,709.0,16.0,1,1,1
2.0,1.0,0.0,1.0,0.27,152.0,709.0,16.0,1,1,1
3.0,1.0,1.0,1.0,0.13,179.0,709.0,16.0,1,0,1
1.0,4.0,0.0,7.0,0.16,117.0,709.0,16.0,1,0,1
1.0,4.0,0.0,7.0,0.82,102.0,709.0,16.0,1,0,1
1.0,4.0,0.0,7.0,0.74,67.0,709.0,16.0,1,0,0
1.0,4.0,0.0,7.0,0.72,60.0,709.0,16.0,1,0,1
6.0,1.0,1.0,1.0,0.61,178.0,709.0,16.0,1,1,1
