@RELATION "multilabel_instances_train: -C -3"
@ATTRIBUTE swords  NUMERIC
@ATTRIBUTE sf         NUMERIC
@ATTRIBUTE sdf      NUMERIC
@ATTRIBUTE scand      NUMERIC
@ATTRIBUTE mpos      NUMERIC
@ATTRIBUTE msent     NUMERIC
@ATTRIBUTE dwords     NUMERIC
@ATTRIBUTE dents    NUMERIC
@ATTRIBUTE Aclass        {0,1}
@ATTRIBUTE Bclass        {0,1}
@ATTRIBUTE Tclass        {0,1}

@DATA
1.0,2.0,10.0,1.0,0.91,65.0,80.0,12.0,1,1,0
1.0,1.0,2.0,2.0,0.07,215.0,80.0,12.0,1,1,0
2.0,1.0,10.0,1.0,0.27,215.0,80.0,12.0,1,1,1
2.0,1.0,16.0,1.0,0.17,215.0,80.0,12.0,1,1,1
1.0,3.0,3.0,0.0,0.8,121.0,189.0,27.0,1,1,0
1.0,3.0,3.0,0.0,0.48,116.0,189.0,27.0,1,1,0
2.0,1.0,3.0,1.0,0.17,174.0,189.0,27.0,1,1,1
1.0,2.0,14.0,1.0,0.03,49.0,189.0,27.0,1,1,1
1.0,2.0,14.0,1.0,0.13,174.0,189.0,27.0,1,1,0
3.0,1.0,2.0,1.0,0.55,142.0,189.0,27.0,1,1,1
2.0,1.0,18.0,1.0,0.07,174.0,189.0,27.0,1,1,1
2.0,1.0,2.0,1.0,0.64,120.0,172.0,24.0,1,1,1
2.0,1.0,4.0,1.0,0.08,225.0,172.0,24.0,1,1,1
1.0,2.0,1.0,0.0,0.27,116.0,411.0,25.0,1,0,0
2.0,1.0,0.0,1.0,0.1,235.0,411.0,25.0,1,1,1
1.0,1.0,1.0,0.0,0.31,116.0,411.0,25.0,1,0,0
1.0,4.0,1.0,0.0,0.39,52.0,356.0,30.0,1,1,0
1.0,4.0,1.0,0.0,0.28,222.0,356.0,30.0,1,1,0
1.0,4.0,1.0,0.0,0.63,181.0,356.0,30.0,1,1,0
2.0,1.0,1.0,0.0,0.11,203.0,356.0,30.0,1,1,0
2.0,1.0,1.0,1.0,0.05,179.0,356.0,30.0,1,1,1
7.0,1.0,9.0,1.0,0.69,184.0,211.0,20.0,1,0,1
2.0,1.0,2.0,1.0,0.26,177.0,211.0,20.0,1,1,1
2.0,1.0,1.0,1.0,0.33,177.0,211.0,20.0,1,1,1
1.0,3.0,10.0,1.0,0.44,118.0,224.0,28.0,1,1,0
